Neighbourhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,344,729,876,976,2173,2065,4465,4086,5883,4912
2,104,84,114,341,137,110,466,93,125,32
3,185,239,337,207,121,65,346,180,509,150
4,18,19,66,109,120,8,240,229,45,99
5,16,59,202,258,107,51,219,683,524,93
6,7,16,17,52,59,18,131,128,100,24
7,14,29,71,274,159,110,511,334,121,117
8,48,232,311,278,214,282,293,201,70,211
9,104,991,751,531,219,217,952,676,470,447
10,65,225,314,382,92,208,276,295,315,408
11,115,475,391,359,380,356,396,311,423,900
12,36,178,161,100,102,39,224,365,256,106
13,34,101,198,150,63,151,228,64,78,22
14,0,0,0,0,0,0,0,0,0,0
15,56,46,190,96,56,44,363,312,132,41
16,41,118,269,149,104,83,534,3195,1397,682
17,0,0,0,0,0,0,0,0,0,0
18,7,19,28,25,7,4,124,126,18,33
19,3,123,118,42,30,23,15,55,32,16
20,218,839,1058,528,676,436,524,456,507,318
21,764,1486,1395,1580,1364,691,1290,1158,879,624
22,218,364,372,526,438,290,796,171,119,104
23,809,973,743,786,620,373,234,126,56,35
24,77,129,248,78,20,11,19,7,17,40
25,7,29,35,93,118,133,121,9,16,80
26,0,0,0,0,0,0,0,0,0,0
27,312,306,669,615,223,131,1062,700,961,434
28,59,141,72,48,47,14,55,38,36,208
29,114,84,135,38,39,2,157,176,104,207
30,143,276,345,223,179,195,416,371,225,258
31,84,245,568,584,315,236,497,928,1268,466
32,60,242,583,327,156,21,77,100,30,8
33,11,37,69,39,133,56,466,1620,477,368
34,19,96,118,55,56,47,289,215,162,111
35,21,46,20,6,5,9,655,579,204,363
36,45,39,57,33,46,35,83,57,16,19
37,10,95,33,61,84,70,208,65,105,51
38,91,117,61,25,74,63,173,120,33,17
39,463,222,168,144,133,90,2646,2347,1053,432
40,67,72,113,177,88,125,1149,342,377,900
41,260,721,651,523,356,182,905,1127,558,1064
42,144,389,1014,805,612,278,1011,1414,1007,1062
43,97,470,594,451,374,418,676,618,794,649
44,141,272,451,168,121,323,718,1072,864,696
45,0,0,0,0,0,0,0,0,0,0
46,3,143,168,202,125,14,30,17,35,51
47,17,73,85,53,35,18,372,86,35,86
48,81,103,150,113,111,14,232,531,735,452
49,243,480,933,548,427,268,1283,1319,1264,1464
50,99,192,185,157,125,258,701,723,414,173
51,0,0,0,0,0,0,0,0,0,0
52,43,81,149,132,228,159,565,559,559,350
53,7,49,49,52,72,17,377,103,23,7
54,18,23,88,133,173,82,482,938,1342,1050
55,42,109,246,155,67,27,31,10,8,10
56,118,125,71,140,158,702,702,888,1336,666
57,18,41,38,31,33,34,32,54,256,87
58,66,381,735,302,321,155,616,865,1574,1680
59,56,46,12,10,141,109,206,254,118,7
60,19,8,18,6,10,7,6,17,34,20
61,0,1,54,34,22,15,10,5,1,4
62,6,33,15,30,84,84,61,51,45,126
63,47,96,53,38,61,42,136,100,80,334
64,7,19,21,12,43,16,44,23,10,3
65,51,10,17,34,21,28,44,40,6,8
66,1,1,16,31,52,26,18,18,1,3
67,1,1,1,1,17,18,19,52,94,116
68,103,150,261,525,717,885,787,709,858,363
69,8,13,24,48,21,17,99,49,102,18
70,384,491,450,470,522,474,1051,1005,722,352
